"Country or Area","Year(s)","Variant","Value"
"Dominica","2090","Constant mortality","48.328"
"Dominica","2090","No change","47.763"
"Dominica","2090","Momentum","79.502"
"Dominica","2090","Instant replacement zero migration","90.471"
"Dominica","2090","Median PI","57.859"
"Dominica","2090","Upper 80 PI","71.668"
"Dominica","2090","Lower 80 PI","45.349"
"Dominica","2090","Upper 95 PI","79.502"
"Dominica","2090","Lower 95 PI","38.344"
"Dominica","2089","Medium","58.385"
"Dominica","2089","High","81.995"
"Dominica","2089","Low","40.355"
"Dominica","2089","Constant fertility","57.829"
"Dominica","2089","Instant replacement","83.052"
"Dominica","2089","Zero migration","64.523"
"Dominica","2089","Constant mortality","48.895"
"Dominica","2089","No change","48.355"
"Dominica","2089","Momentum","79.498"
"Dominica","2089","Instant replacement zero migration","90.346"
"Dominica","2089","Median PI","58.385"
"Dominica","2089","Upper 80 PI","72.015"
"Dominica","2089","Lower 80 PI","46.018"
"Dominica","2089","Upper 95 PI","79.53"
"Dominica","2089","Lower 95 PI","39.187"
"Dominica","2088","Medium","58.916"
"Dominica","2088","High","81.998"
"Dominica","2088","Low","41.179"
"Dominica","2088","Constant fertility","58.392"
"Dominica","2088","Instant replacement","83.084"
"Dominica","2088","Zero migration","64.943"
"Dominica","2088","Constant mortality","49.459"
"Dominica","2088","No change","48.953"
"Dominica","2088","Momentum","79.499"
"Dominica","2088","Instant replacement zero migration","90.223"
"Dominica","2088","Median PI","58.915"
"Dominica","2088","Upper 80 PI","72.345"
"Dominica","2088","Lower 80 PI","46.677"
"Dominica","2088","Upper 95 PI","79.559"
"Dominica","2088","Lower 95 PI","39.948"
"Dominica","2087","Medium","59.446"
"Dominica","2087","High","82.01"
"Dominica","2087","Low","41.998"
"Dominica","2087","Constant fertility","58.953"
"Dominica","2087","Instant replacement","83.112"
"Dominica","2087","Zero migration","65.368"
"Dominica","2087","Constant mortality","50.036"
"Dominica","2087","No change","49.562"
"Dominica","2087","Momentum","79.518"
"Dominica","2087","Instant replacement zero migration","90.106"
"Dominica","2087","Median PI","59.445"
"Dominica","2087","Upper 80 PI","72.692"
"Dominica","2087","Lower 80 PI","47.332"
"Dominica","2087","Upper 95 PI","79.688"
"Dominica","2087","Lower 95 PI","40.683"
"Dominica","2086","Medium","59.978"
"Dominica","2086","High","82.032"
"Dominica","2086","Low","42.82"
"Dominica","2086","Constant fertility","59.515"
"Dominica","2086","Instant replacement","83.147"
"Dominica","2086","Zero migration","65.796"
"Dominica","2086","Constant mortality","50.636"
"Dominica","2086","No change","50.178"
"Dominica","2086","Momentum","79.547"
"Dominica","2086","Instant replacement zero migration","90"
"Dominica","2086","Median PI","59.978"
"Dominica","2086","Upper 80 PI","72.971"
"Dominica","2086","Lower 80 PI","48.043"
"Dominica","2086","Upper 95 PI","79.846"
"Dominica","2086","Lower 95 PI","41.522"
"Dominica","2085","Medium","60.513"
"Dominica","2085","High","82.055"
"Dominica","2085","Low","43.646"
"Dominica","2085","Constant fertility","60.072"
"Dominica","2085","Instant replacement","83.188"
"Dominica","2085","Zero migration","66.222"
"Dominica","2085","Constant mortality","51.24"
"Dominica","2085","No change","50.808"
"Dominica","2085","Momentum","79.584"
"Dominica","2085","Instant replacement zero migration","89.898"
"Dominica","2085","Median PI","60.513"
"Dominica","2085","Upper 80 PI","73.296"
"Dominica","2085","Lower 80 PI","48.805"
"Dominica","2085","Upper 95 PI","80.042"
"Dominica","2085","Lower 95 PI","42.427"
"Dominica","2084","Medium","61.044"
"Dominica","2084","High","82.081"
"Dominica","2084","Low","44.47"
"Dominica","2084","Constant fertility","60.626"
"Dominica","2084","Instant replacement","83.228"
"Dominica","2084","Zero migration","66.647"
"Dominica","2084","Constant mortality","51.85"
"Dominica","2084","No change","51.445"
"Dominica","2084","Momentum","79.63"
"Dominica","2084","Instant replacement zero migration","89.8"
"Dominica","2084","Median PI","61.044"
"Dominica","2084","Upper 80 PI","73.622"
"Dominica","2084","Lower 80 PI","49.53"
