"Country or Area","Year(s)","Variant","Value"
"Haiti","2092","Median PI","16334.563"
"Haiti","2092","Upper 80 PI","22234.247"
"Haiti","2092","Lower 80 PI","12064.027"
"Haiti","2092","Upper 95 PI","26316.827"
"Haiti","2092","Lower 95 PI","10260.258"
"Haiti","2091","Medium","16354.189"
"Haiti","2091","High","22738.191"
"Haiti","2091","Low","11366.771"
"Haiti","2091","Constant fertility","24593.837"
"Haiti","2091","Instant replacement","15484.63"
"Haiti","2091","Zero migration","18174.026"
"Haiti","2091","Constant mortality","13748.077"
"Haiti","2091","No change","21014.594"
"Haiti","2091","Momentum","14630.76"
"Haiti","2091","Instant replacement zero migration","17330.416"
"Haiti","2091","Median PI","16354.188"
"Haiti","2091","Upper 80 PI","22160.482"
"Haiti","2091","Lower 80 PI","12177.443"
"Haiti","2091","Upper 95 PI","26126.074"
"Haiti","2091","Lower 95 PI","10376.081"
"Haiti","2090","Medium","16371.784"
"Haiti","2090","High","22595.151"
"Haiti","2090","Low","11481.233"
"Haiti","2090","Constant fertility","24343.922"
"Haiti","2090","Instant replacement","15484.203"
"Haiti","2090","Zero migration","18170.348"
"Haiti","2090","Constant mortality","13822.441"
"Haiti","2090","No change","20873.536"
"Haiti","2090","Momentum","14665.369"
"Haiti","2090","Instant replacement zero migration","17305.386"
"Haiti","2090","Median PI","16371.784"
"Haiti","2090","Upper 80 PI","22037.055"
"Haiti","2090","Lower 80 PI","12276.619"
"Haiti","2090","Upper 95 PI","25871.52"
"Haiti","2090","Lower 95 PI","10494.931"
"Haiti","2089","Medium","16387.502"
"Haiti","2089","High","22451.861"
"Haiti","2089","Low","11593.99"
"Haiti","2089","Constant fertility","24097.403"
"Haiti","2089","Instant replacement","15483.358"
"Haiti","2089","Zero migration","18164.903"
"Haiti","2089","Constant mortality","13894.874"
"Haiti","2089","No change","20733.571"
"Haiti","2089","Momentum","14699.683"
"Haiti","2089","Instant replacement zero migration","17280.186"
"Haiti","2089","Median PI","16387.502"
"Haiti","2089","Upper 80 PI","21924.99"
"Haiti","2089","Lower 80 PI","12364.159"
"Haiti","2089","Upper 95 PI","25625.666"
"Haiti","2089","Lower 95 PI","10613.007"
"Haiti","2088","Medium","16401.559"
"Haiti","2088","High","22308.753"
"Haiti","2088","Low","11705.06"
"Haiti","2088","Constant fertility","23854.147"
"Haiti","2088","Instant replacement","15481.882"
"Haiti","2088","Zero migration","18157.903"
"Haiti","2088","Constant mortality","13965.575"
"Haiti","2088","No change","20594.689"
"Haiti","2088","Momentum","14733.53"
"Haiti","2088","Instant replacement zero migration","17254.575"
"Haiti","2088","Median PI","16401.559"
"Haiti","2088","Upper 80 PI","21844.69"
"Haiti","2088","Lower 80 PI","12452.103"
"Haiti","2088","Upper 95 PI","25410.971"
"Haiti","2088","Lower 95 PI","10731.774"
"Haiti","2087","Medium","16413.533"
"Haiti","2087","High","22165.331"
"Haiti","2087","Low","11814.096"
"Haiti","2087","Constant fertility","23614.047"
"Haiti","2087","Instant replacement","15479.603"
"Haiti","2087","Zero migration","18148.882"
"Haiti","2087","Constant mortality","14034.171"
"Haiti","2087","No change","20456.869"
"Haiti","2087","Momentum","14766.757"
"Haiti","2087","Instant replacement zero migration","17228.368"
"Haiti","2087","Median PI","16413.533"
"Haiti","2087","Upper 80 PI","21761.937"
"Haiti","2087","Lower 80 PI","12554.685"
"Haiti","2087","Upper 95 PI","25224.549"
"Haiti","2087","Lower 95 PI","10848.515"
"Haiti","2086","Medium","16423.497"
"Haiti","2086","High","22021.759"
"Haiti","2086","Low","11921.09"
"Haiti","2086","Constant fertility","23377.091"
"Haiti","2086","Instant replacement","15476.441"
"Haiti","2086","Zero migration","18137.902"
"Haiti","2086","Constant mortality","14100.654"
"Haiti","2086","No change","20320.084"
"Haiti","2086","Momentum","14799.209"
"Haiti","2086","Instant replacement zero migration","17201.451"
"Haiti","2086","Median PI","16423.497"
"Haiti","2086","Upper 80 PI","21666.215"
"Haiti","2086","Lower 80 PI","12639.541"
"Haiti","2086","Upper 95 PI","25031.676"
"Haiti","2086","Lower 95 PI","10959.733"
"Haiti","2085","Medium","16432"
"Haiti","2085","High","21878.889"
"Haiti","2085","Low","12026.327"
"Haiti","2085","Constant fertility","23143.216"
"Haiti","2085","Instant replacement","15472.29"
"Haiti","2085","Zero migration","18125.535"
"Haiti","2085","Constant mortality","14165.471"
"Haiti","2085","No change","20184.315"
"Haiti","2085","Momentum","14830.731"
"Haiti","2085","Instant replacement zero migration","17173.685"
"Haiti","2085","Median PI","16432"
"Haiti","2085","Upper 80 PI","21557.013"
"Haiti","2085","Lower 80 PI","12696.251"
"Haiti","2085","Upper 95 PI","24784.895"
"Haiti","2085","Lower 95 PI","11058.062"
"Haiti","2084","Medium","16438.367"
"Haiti","2084","High","21735.796"
"Haiti","2084","Low","12129.322"
"Haiti","2084","Constant fertility","22912.439"
"Haiti","2084","Instant replacement","15467.103"
"Haiti","2084","Zero migration","18111.015"
"Haiti","2084","Constant mortality","14227.936"
"Haiti","2084","No change","20049.538"
"Haiti","2084","Momentum","14861.157"
"Haiti","2084","Instant replacement zero migration","17145.014"
"Haiti","2084","Median PI","16438.366"
"Haiti","2084","Upper 80 PI","21454.198"
"Haiti","2084","Lower 80 PI","12763.421"
"Haiti","2084","Upper 95 PI","24508.214"
"Haiti","2084","Lower 95 PI","11158.859"
"Haiti","2083","Medium","16442.64"
"Haiti","2083","High","21592.553"
"Haiti","2083","Low","12230.068"
"Haiti","2083","Constant fertility","22684.763"
"Haiti","2083","Instant replacement","15460.84"
"Haiti","2083","Zero migration","18094.365"
"Haiti","2083","Constant mortality","14287.984"
"Haiti","2083","No change","19915.729"
"Haiti","2083","Momentum","14890.336"
"Haiti","2083","Instant replacement zero migration","17115.372"
"Haiti","2083","Median PI","16442.639"
"Haiti","2083","Upper 80 PI","21337.788"
"Haiti","2083","Lower 80 PI","12831.038"
"Haiti","2083","Upper 95 PI","24305.562"
"Haiti","2083","Lower 95 PI","11257.092"
"Haiti","2082","Medium","16444.829"
"Haiti","2082","High","21449.249"
"Haiti","2082","Low","12328.521"
"Haiti","2082","Constant fertility","22460.077"
"Haiti","2082","Instant replacement","15453.38"
"Haiti","2082","Zero migration","18075.57"
"Haiti","2082","Constant mortality","14345.63"
"Haiti","2082","No change","19782.852"
"Haiti","2082","Momentum","14918.126"
"Haiti","2082","Instant replacement zero migration","17084.59"
"Haiti","2082","Median PI","16444.829"
"Haiti","2082","Upper 80 PI","21209.117"
"Haiti","2082","Lower 80 PI","12901.75"
"Haiti","2082","Upper 95 PI","24137.879"
"Haiti","2082","Lower 95 PI","11341.289"
"Haiti","2081","Medium","16444.802"
"Haiti","2081","High","21305.72"
"Haiti","2081","Low","12424.541"
"Haiti","2081","Constant fertility","22238.284"
"Haiti","2081","Instant replacement","15444.627"
"Haiti","2081","Zero migration","18054.443"
"Haiti","2081","Constant mortality","14400.739"
"Haiti","2081","No change","19650.865"
"Haiti","2081","Momentum","14944.371"
"Haiti","2081","Instant replacement zero migration","17052.539"
"Haiti","2081","Median PI","16444.802"
"Haiti","2081","Upper 80 PI","21104.994"
"Haiti","2081","Lower 80 PI","12979.73"
"Haiti","2081","Upper 95 PI","23966.274"
"Haiti","2081","Lower 95 PI","11432.756"
"Haiti","2080","Medium","16442.625"
"Haiti","2080","High","21162.031"
"Haiti","2080","Low","12518.167"
"Haiti","2080","Constant fertility","22019.419"
"Haiti","2080","Instant replacement","15434.621"
"Haiti","2080","Zero migration","18031.025"
"Haiti","2080","Constant mortality","14453.243"
"Haiti","2080","No change","19519.727"
"Haiti","2080","Momentum","14968.931"
"Haiti","2080","Instant replacement zero migration","17019.229"
"Haiti","2080","Median PI","16442.625"
"Haiti","2080","Upper 80 PI","21001.747"
"Haiti","2080","Lower 80 PI","13053.439"
"Haiti","2080","Upper 95 PI","23783.07"
"Haiti","2080","Lower 95 PI","11522.506"
"Haiti","2079","Medium","16438.565"
"Haiti","2079","High","21018.528"
"Haiti","2079","Low","12609.568"
"Haiti","2079","Constant fertility","21803.444"
"Haiti","2079","Instant replacement","15423.355"
"Haiti","2079","Zero migration","18005.594"
"Haiti","2079","Constant mortality","14503.323"
"Haiti","2079","No change","19389.404"
"Haiti","2079","Momentum","14991.683"
"Haiti","2079","Instant replacement zero migration","16984.625"
"Haiti","2079","Median PI","16438.565"
"Haiti","2079","Upper 80 PI","20879.626"
"Haiti","2079","Lower 80 PI","13126.403"
"Haiti","2079","Upper 95 PI","23584.317"
"Haiti","2079","Lower 95 PI","11619.183"
"Haiti","2078","Medium","16432.868"
"Haiti","2078","High","20875.575"
"Haiti","2078","Low","12698.837"
"Haiti","2078","Constant fertility","21590.058"
"Haiti","2078","Instant replacement","15410.603"
"Haiti","2078","Zero migration","17978.393"
"Haiti","2078","Constant mortality","14551.354"
"Haiti","2078","No change","19259.845"
"Haiti","2078","Momentum","15012.542"
"Haiti","2078","Instant replacement zero migration","16948.462"
"Haiti","2078","Median PI","16432.868"
"Haiti","2078","Upper 80 PI","20755.033"
"Haiti","2078","Lower 80 PI","13198.773"
"Haiti","2078","Upper 95 PI","23375"
"Haiti","2078","Lower 95 PI","11724.016"
"Haiti","2077","Medium","16425.365"
"Haiti","2077","High","20732.925"
"Haiti","2077","Low","12785.819"
"Haiti","2077","Constant fertility","21379.111"
"Haiti","2077","Instant replacement","15396.276"
"Haiti","2077","Zero migration","17949.214"
"Haiti","2077","Constant mortality","14597.229"
"Haiti","2077","No change","19130.99"
"Haiti","2077","Momentum","15031.432"
"Haiti","2077","Instant replacement zero migration","16910.621"
"Haiti","2077","Median PI","16425.365"
"Haiti","2077","Upper 80 PI","20634.309"
"Haiti","2077","Lower 80 PI","13271.028"
"Haiti","2077","Upper 95 PI","23160.817"
"Haiti","2077","Lower 95 PI","11831.848"
"Haiti","2076","Medium","16415.679"
"Haiti","2076","High","20590.023"
"Haiti","2076","Low","12870.25"
"Haiti","2076","Constant fertility","21170.6"
"Haiti","2076","Instant replacement","15380.443"
"Haiti","2076","Zero migration","17917.619"
"Haiti","2076","Constant mortality","14640.512"
"Haiti","2076","No change","19002.796"
"Haiti","2076","Momentum","15048.269"
"Haiti","2076","Instant replacement zero migration","16871.146"
"Haiti","2076","Median PI","16415.679"
"Haiti","2076","Upper 80 PI","20519.276"
"Haiti","2076","Lower 80 PI","13327.825"
"Haiti","2076","Upper 95 PI","22986.433"
"Haiti","2076","Lower 95 PI","11933.974"
"Haiti","2075","Medium","16403.354"
"Haiti","2075","High","20446.242"
"Haiti","2075","Low","12951.774"
"Haiti","2075","Constant fertility","20964.403"
"Haiti","2075","Instant replacement","15363.086"
"Haiti","2075","Zero migration","17883.094"
"Haiti","2075","Constant mortality","14680.796"
"Haiti","2075","No change","18875.203"
"Haiti","2075","Momentum","15063.01"
"Haiti","2075","Instant replacement zero migration","16829.999"
"Haiti","2075","Median PI","16403.354"
"Haiti","2075","Upper 80 PI","20395.85"
"Haiti","2075","Lower 80 PI","13376.066"
"Haiti","2075","Upper 95 PI","22793.662"
"Haiti","2075","Lower 95 PI","12026.697"
"Haiti","2074","Medium","16388.43"
"Haiti","2074","High","20301.648"
"Haiti","2074","Low","13030.372"
"Haiti","2074","Constant fertility","20760.413"
"Haiti","2074","Instant replacement","15344.183"
"Haiti","2074","Zero migration","17845.689"
"Haiti","2074","Constant mortality","14718.121"
"Haiti","2074","No change","18748.138"
"Haiti","2074","Momentum","15075.629"
"Haiti","2074","Instant replacement zero migration","16787.15"
"Haiti","2074","Median PI","16388.431"
"Haiti","2074","Upper 80 PI","20283.155"
"Haiti","2074","Lower 80 PI","13423.366"
"Haiti","2074","Upper 95 PI","22555.446"
"Haiti","2074","Lower 95 PI","12109.722"
"Haiti","2073","Medium","16370.991"
"Haiti","2073","High","20156.334"
"Haiti","2073","Low","13106.056"
"Haiti","2073","Constant fertility","20558.522"
"Haiti","2073","Instant replacement","15323.702"
"Haiti","2073","Zero migration","17805.486"
"Haiti","2073","Constant mortality","14752.533"
"Haiti","2073","No change","18621.519"
"Haiti","2073","Momentum","15086.068"
"Haiti","2073","Instant replacement zero migration","16742.555"
"Haiti","2073","Median PI","16370.991"
"Haiti","2073","Upper 80 PI","20168.813"
"Haiti","2073","Lower 80 PI","13470.965"
"Haiti","2073","Upper 95 PI","22332.967"
"Haiti","2073","Lower 95 PI","12168.248"
"Haiti","2072","Medium","16350.993"
"Haiti","2072","High","20010.216"
"Haiti","2072","Low","13178.753"
"Haiti","2072","Constant fertility","20358.579"
"Haiti","2072","Instant replacement","15301.621"
"Haiti","2072","Zero migration","17762.427"
"Haiti","2072","Constant mortality","14784.02"
"Haiti","2072","No change","18495.276"
"Haiti","2072","Momentum","15094.298"
"Haiti","2072","Instant replacement zero migration","16696.178"
"Haiti","2072","Median PI","16350.992"
"Haiti","2072","Upper 80 PI","20046.437"
"Haiti","2072","Lower 80 PI","13538.431"
"Haiti","2072","Upper 95 PI","22135.533"
"Haiti","2072","Lower 95 PI","12236.897"
"Haiti","2071","Medium","16328.144"
"Haiti","2071","High","19862.918"
"Haiti","2071","Low","13248.202"
"Haiti","2071","Constant fertility","20160.516"
"Haiti","2071","Instant replacement","15278.021"
"Haiti","2071","Zero migration","17716.209"
"Haiti","2071","Constant mortality","14812.251"
"Haiti","2071","No change","18369.321"
"Haiti","2071","Momentum","15100.313"
"Haiti","2071","Instant replacement zero migration","16648.101"
"Haiti","2071","Median PI","16328.144"
"Haiti","2071","Upper 80 PI","19934.727"
"Haiti","2071","Lower 80 PI","13603.959"
"Haiti","2071","Upper 95 PI","21937.122"
"Haiti","2071","Lower 95 PI","12325.393"
"Haiti","2070","Medium","16302.768"
"Haiti","2070","High","19714.849"
"Haiti","2070","Low","13314.609"
"Haiti","2070","Constant fertility","19964.244"
"Haiti","2070","Instant replacement","15252.93"
"Haiti","2070","Zero migration","17667.216"
"Haiti","2070","Constant mortality","14837.467"
"Haiti","2070","No change","18243.56"
"Haiti","2070","Momentum","15104.085"
"Haiti","2070","Instant replacement zero migration","16598.372"
"Haiti","2070","Median PI","16302.768"
"Haiti","2070","Upper 80 PI","19807.005"
"Haiti","2070","Lower 80 PI","13647.531"
"Haiti","2070","Upper 95 PI","21725.667"
"Haiti","2070","Lower 95 PI","12402.431"
"Haiti","2069","Medium","16274.837"
"Haiti","2069","High","19565.993"
"Haiti","2069","Low","13377.877"
"Haiti","2069","Constant fertility","19769.602"
"Haiti","2069","Instant replacement","15226.319"
"Haiti","2069","Zero migration","17615.427"
"Haiti","2069","Constant mortality","14859.664"
"Haiti","2069","No change","18117.904"
"Haiti","2069","Momentum","15105.609"
"Haiti","2069","Instant replacement zero migration","16546.97"
"Haiti","2069","Median PI","16274.838"
"Haiti","2069","Upper 80 PI","19659.086"
"Haiti","2069","Lower 80 PI","13695.197"
"Haiti","2069","Upper 95 PI","21506.19"
"Haiti","2069","Lower 95 PI","12483.525"
"Haiti","2068","Medium","16243.543"
"Haiti","2068","High","19415.39"
"Haiti","2068","Low","13437.299"
"Haiti","2068","Constant fertility","19576.375"
"Haiti","2068","Instant replacement","15198.118"
"Haiti","2068","Zero migration","17559.985"
"Haiti","2068","Constant mortality","14878.168"
"Haiti","2068","No change","17992.266"
"Haiti","2068","Momentum","15104.891"
"Haiti","2068","Instant replacement zero migration","16493.833"
"Haiti","2068","Median PI","16243.543"
"Haiti","2068","Upper 80 PI","19514.832"
"Haiti","2068","Lower 80 PI","13737.593"
"Haiti","2068","Upper 95 PI","21301.088"
"Haiti","2068","Lower 95 PI","12574.134"
"Haiti","2067","Medium","16209.061"
"Haiti","2067","High","19263.284"
"Haiti","2067","Low","13492.959"
"Haiti","2067","Constant fertility","19384.574"
"Haiti","2067","Instant replacement","15168.424"
"Haiti","2067","Zero migration","17501.123"
"Haiti","2067","Constant mortality","14892.999"
"Haiti","2067","No change","17866.55"
"Haiti","2067","Momentum","15101.906"
"Haiti","2067","Instant replacement zero migration","16439.086"
"Haiti","2067","Median PI","16209.062"
"Haiti","2067","Upper 80 PI","19378.594"
"Haiti","2067","Lower 80 PI","13772.638"
"Haiti","2067","Upper 95 PI","21093.581"
"Haiti","2067","Lower 95 PI","12662.733"
"Haiti","2066","Medium","16171.95"
"Haiti","2066","High","19110.377"
"Haiti","2066","Low","13545.223"
"Haiti","2066","Constant fertility","19194.23"
"Haiti","2066","Instant replacement","15137.343"
"Haiti","2066","Zero migration","17439.479"
"Haiti","2066","Constant mortality","14904.517"
"Haiti","2066","No change","17740.666"
"Haiti","2066","Momentum","15096.61"
"Haiti","2066","Instant replacement zero migration","16382.864"
"Haiti","2066","Median PI","16171.95"
"Haiti","2066","Upper 80 PI","19250.216"
"Haiti","2066","Lower 80 PI","13819.01"
"Haiti","2066","Upper 95 PI","20889.413"
"Haiti","2066","Lower 95 PI","12733.01"
"Haiti","2065","Medium","16131.665"
"Haiti","2065","High","18956.096"
"Haiti","2065","Low","13593.585"
"Haiti","2065","Constant fertility","19005.265"
"Haiti","2065","Instant replacement","15104.825"
"Haiti","2065","Zero migration","17374.507"
"Haiti","2065","Constant mortality","14912.177"
"Haiti","2065","No change","17614.528"
"Haiti","2065","Momentum","15088.93"
"Haiti","2065","Instant replacement zero migration","16325.156"
"Haiti","2065","Median PI","16131.664"
"Haiti","2065","Upper 80 PI","19102.284"
"Haiti","2065","Lower 80 PI","13857.829"
"Haiti","2065","Upper 95 PI","20672.986"
"Haiti","2065","Lower 95 PI","12786.932"
"Haiti","2064","Medium","16087.866"
"Haiti","2064","High","18800.127"
"Haiti","2064","Low","13637.663"
"Haiti","2064","Constant fertility","18817.546"
"Haiti","2064","Instant replacement","15070.727"
"Haiti","2064","Zero migration","17305.88"
"Haiti","2064","Constant mortality","14915.648"
"Haiti","2064","No change","17488.033"
"Haiti","2064","Momentum","15078.766"
"Haiti","2064","Instant replacement zero migration","16265.846"
"Haiti","2064","Median PI","16087.866"
"Haiti","2064","Upper 80 PI","18948.611"
"Haiti","2064","Lower 80 PI","13879.785"
"Haiti","2064","Upper 95 PI","20445.177"
"Haiti","2064","Lower 95 PI","12848.318"
"Haiti","2063","Medium","16041.093"
"Haiti","2063","High","18643.227"
"Haiti","2063","Low","13677.769"
"Haiti","2063","Constant fertility","18630.913"
"Haiti","2063","Instant replacement","15034.854"
"Haiti","2063","Zero migration","17234.22"
"Haiti","2063","Constant mortality","14915.445"
"Haiti","2063","No change","17361.086"
"Haiti","2063","Momentum","15065.984"
"Haiti","2063","Instant replacement zero migration","16204.761"
"Haiti","2063","Median PI","16041.092"
"Haiti","2063","Upper 80 PI","18805.285"
"Haiti","2063","Lower 80 PI","13892.927"
"Haiti","2063","Upper 95 PI","20212.899"
"Haiti","2063","Lower 95 PI","12911.131"
"Haiti","2062","Medium","15990.972"
