"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bahamas, The","BHS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6248582269035","10.1428144498882","14.5404250414491","12.1458403099618","17.6872853928533","13.3531850684685","16.7250129126938","14.830552873339","","","22.7682499830777","13.0450874627608","15.5687690492871","14.7714633054694","12.8246419666006","14.950949385286","17.2968926557677","21.808025073637","20.1215562507752","23.6376751938901","25.1827085878394","33.6023283503109","28.7912139684501","30.8569946842992","31.3519097681758","37.1787444534279","28.0319665434691","30.5749085258884","22.6420821758295","23.4824758933846","17.9594387306367","29.1734237464315","",
"Bahamas, The","BHS","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","2800","3500","1600","230","18000","","","",
"Bahamas, The","BHS","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5","","99.5024871826172","","99.5024871826172","","100","94.0298538208008","90.3846130371094","89.9038467407227","93.75","96.1538467407227","96.6346130371094","91.4691925048828","90.5213241577148","90.1408462524414","88.2629089355469","87.7934265136719","92.61083984375","89.6551742553711","84.2364501953125","84.2364501953125","81.5533981323242","85.9903411865234","88.4057998657227","87.4396133422852","85.9903411865234",
"Bahamas, The","BHS","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10283946990967","","1.15747666358948","","1.20222544670105","","1.18893682956696","1.03227174282074","0.98453950881958","0.942519128322601","1.02023363113403","1.09843242168427","1.12191426753998","1.00714540481567","0.988209545612335","0.960108458995819","0.934573888778687","0.924448728561401","1.04737842082977","0.951491832733154","0.852161884307861","0.849596917629242","0.774486243724823","0.904696941375732","0.915464580059052","0.904381930828094","0.869135797023773",
"Bahamas, The","BHS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","3454","","","","","","5691434","23398744","6222847","","","","",
"Bahamas, The","BHS","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","","","","","","","","","","","","0.00376392652815417","","","0.00138538693857194","","","","","0.00105689810973773","0.194906337252173","0.00342551782411108","0.00066479637287099","0.018645951182884","0.0380768346603644","0.0588247357064247","0.0709581872311538","0.0390369135253558","0.0115094370394187","0.00692867094808271","0.133274593167245","0.0146784462988523","3.03567177563556","0.116263953269902","0.250578752038793","0.296806537850883","0.790892010252444","0.00165400435363718","0.150678983640813","0.859263091228328","0.293604441377416","0.464052958995712","0.0542058548757659","0.315059706374916","0.0566443269985534","0.0138366492719265","1.98395081083342","1.09339337705582","7.4819481956444","6.94758594526056","8.68412511971732","2.00829319655668","3.29267803624695","0.789223865634974","0.00999146944072297","0.0193018478892054","0.0278313341650054","0.0366688554667321","0.0136206336800438","0.0814302499532479","0.140046963378258","","",
"Bahamas, The","BHS","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","","","","","","","","","","0.018772292096865","0.0461414234629138","","","","","0.0123588204103926","0.0518004845851784","0.166536831322419","0.0945263054606113","0.00132112263717216","0.00269264865491843","0.136368233378898","0.187029379567705","0.0181420065563196","0.0382532524002657","0.0306086100577006","0.00255405055761586","0.0111429311847025","0.0120220030614171","0.092837010734414","0.0781166796376755","0.345777985891663","0.151827074946438","0.366182372127354","0.296709062834706","2.60353022008704","0.123056274836607","0.00496201306091154","0.0131319415319383","0.0226452628022706","0.00224936546776254","0.00228805668346278","0.00107122311839968","0.0058788852866768","0.0800658237650149","0.211730659992406","0.0351334364184867","1.45663981901821","0.336313879185173","0.416045240273482","0.744130072400037","0.779818583667618","0.49564221230554","0.0891225716728166","0.0616251153302671","0.13909248902808","0.142138625250259","0.398286461575172","0.665488367820598","4.81413804968765","5.02557217695207","","",
"Bahamas, The","BHS","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","","","","","","","","","","","","","","0.0283163120835142","0.105982100800754","","0.165761550672571","0.0969164616903948","","0.000264224527434433","0.166529962965725","0.164587975453718","0.000221598790956997","0.0108348094711353","0.000676268105791775","0.156346957329471","0.000925380636817342","","0.000232984555453819","0.170596084690617","0.00113704896889544","0.0162669995184126","0.487419825253319","1.33566435123264","0.050913626668349","2.27168453854492","0.0741674340335139","","0.0180007020336445","0.0568989742697367","0.0106624342498716","0.199667195620335","0.0251712239429795","0.0347881333148841","0.0648083124389876","0.0414072815237551","0.0331447443279209","0.00559542660218097","0.211208235629412","0.137302682682093","0.034693939852819","0.191635497528716","0.0602788537002862","0.687915148084502","1.73729490252638","0.0122809225272849","0.00864160797659499","0.00631377206235941","0.00198786201102697","0.00382448052318828","0.00155778172462873","","",
"Bahamas, The","BHS","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4126525323","1.8230145831","0.4978905515","0.6088068564","0.3689351315","","0.2645122745","0.2804705919","0.1843146363","0.3621558686","0.1587052543","1.6892904555","0.2320896723","0.260307571","0.6173122436","1.3985143345","1.3072589055","4.3515841111","0.6423900169","0.6491375573","0.7108259431","","",
