"Country or Area","Year","Item","Value"
"Bahamas","2012","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2440563339.81305"
"Bahamas","2012","Transport, storage and communication (ISIC I)","835793399.115098"
"Bahamas","2012","Other Activities (ISIC J-P)","5327205181.61673"
"Bahamas","2012","Total Value Added","10014144696.782"
"Bahamas","2011","Agriculture, hunting, forestry, fishing (ISIC A-B)","121464052.910554"
"Bahamas","2011","Mining, Manufacturing, Utilities (ISIC C-E)","435162175.664844"
"Bahamas","2011","Manufacturing (ISIC D)","310763557.919301"
"Bahamas","2011","Construction (ISIC F)","788191292.207057"
"Bahamas","2011","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2363610735.50869"
"Bahamas","2011","Transport, storage and communication (ISIC I)","806488450.887874"
"Bahamas","2011","Other Activities (ISIC J-P)","5347755503.10712"
"Bahamas","2011","Total Value Added","9781074397.43782"
"Bahamas","2010","Agriculture, hunting, forestry, fishing (ISIC A-B)","131704071.72095"
"Bahamas","2010","Mining, Manufacturing, Utilities (ISIC C-E)","427100877.713201"
"Bahamas","2010","Manufacturing (ISIC D)","309871200.251191"
"Bahamas","2010","Construction (ISIC F)","635810010.387847"
"Bahamas","2010","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2475694636.05118"
"Bahamas","2010","Transport, storage and communication (ISIC I)","745146419.395957"
"Bahamas","2010","Other Activities (ISIC J-P)","5360362528.50526"
"Bahamas","2010","Total Value Added","9706178668.58557"
"Bahamas","2009","Agriculture, hunting, forestry, fishing (ISIC A-B)","130070026.1661"
"Bahamas","2009","Mining, Manufacturing, Utilities (ISIC C-E)","413566771.977874"
"Bahamas","2009","Manufacturing (ISIC D)","284104372.584515"
"Bahamas","2009","Construction (ISIC F)","215133480.237378"
"Bahamas","2009","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2527508015.09852"
"Bahamas","2009","Transport, storage and communication (ISIC I)","803611437.685573"
"Bahamas","2009","Other Activities (ISIC J-P)","5226852062.81349"
"Bahamas","2009","Total Value Added","9296817082.11914"
"Bahamas","2008","Agriculture, hunting, forestry, fishing (ISIC A-B)","125930444.093812"
"Bahamas","2008","Mining, Manufacturing, Utilities (ISIC C-E)","432055987.463294"
"Bahamas","2008","Manufacturing (ISIC D)","302174615.363742"
"Bahamas","2008","Construction (ISIC F)","236327147.250306"
"Bahamas","2008","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2587457379.28552"
"Bahamas","2008","Transport, storage and communication (ISIC I)","776177061.792203"
"Bahamas","2008","Other Activities (ISIC J-P)","5588839029.77808"
"Bahamas","2008","Total Value Added","9726390255.68679"
"Bahamas","2007","Agriculture, hunting, forestry, fishing (ISIC A-B)","121681925.6512"
"Bahamas","2007","Mining, Manufacturing, Utilities (ISIC C-E)","422663465.9967"
"Bahamas","2007","Manufacturing (ISIC D)","326045182.985684"
"Bahamas","2007","Construction (ISIC F)","-210752666.385543"
"Bahamas","2007","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2688300774.04294"
"Bahamas","2007","Transport, storage and communication (ISIC I)","822106522.557508"
"Bahamas","2007","Other Activities (ISIC J-P)","5825892441.77258"
"Bahamas","2007","Total Value Added","9699817661.47757"
"Bahamas","2006","Agriculture, hunting, forestry, fishing (ISIC A-B)","129961089.795776"
"Bahamas","2006","Mining, Manufacturing, Utilities (ISIC C-E)","452911822.530848"
"Bahamas","2006","Manufacturing (ISIC D)","373005505.269972"
"Bahamas","2006","Construction (ISIC F)","238221553.240288"
"Bahamas","2006","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2587992641.46576"
"Bahamas","2006","Transport, storage and communication (ISIC I)","898141871.475463"
"Bahamas","2006","Other Activities (ISIC J-P)","5337835220.82661"
"Bahamas","2006","Total Value Added","9633847861.95428"
"Bahamas","2005","Agriculture, hunting, forestry, fishing (ISIC A-B)","143687072.456521"
"Bahamas","2005","Mining, Manufacturing, Utilities (ISIC C-E)","426805050.265435"
"Bahamas","2005","Manufacturing (ISIC D)","336753475.003004"
"Bahamas","2005","Construction (ISIC F)","392023639.551986"
"Bahamas","2005","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","2534680528.31375"
